epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,6960.25,0.78917,1.05169,0.63513,0.91965,0,0.86386,0.8486,0.91484,0.67053,0.86386,0.8486,0.91605,0.68536,1.01005,1.15032,0.66384,1.04427,0,0.000505,0.000505,0.000505
42,7137.74,0.76397,1.01445,0.62169,0.91766,0,0.83071,0.87096,0.90453,0.64964,0.83071,0.87096,0.90466,0.65929,1.04721,1.21012,0.6949,1.0627,0,0.000492625,0.000492625,0.000492625
43,7298.11,0.77384,0.99565,0.60081,0.9118,0,0.83115,0.74837,0.85365,0.62624,0.83115,0.74837,0.85424,0.63941,0.99774,1.17768,0.73531,1.01308,0,0.00048025,0.00048025,0.00048025
44,7459.9,0.76691,1.0242,0.60447,0.90231,0,0.75124,0.81852,0.86041,0.61636,0.75124,0.81852,0.86528,0.62154,1.0979,1.24797,0.74205,1.06674,0,0.000467875,0.000467875,0.000467875
45,7637.08,0.75683,1.01323,0.60094,0.90026,0,0.80011,0.84592,0.86587,0.63244,0.80011,0.84592,0.86912,0.63809,1.01669,1.24545,0.69133,1.04661,0,0.0004555,0.0004555,0.0004555
46,7808.23,0.73927,0.95175,0.58384,0.897,0,0.82497,0.79708,0.86435,0.61,0.82497,0.79708,0.86763,0.62393,1.05499,1.2461,0.74296,1.06175,0,0.000443125,0.000443125,0.000443125
47,7985.84,0.73731,0.99233,0.57173,0.89506,0,0.87003,0.78453,0.89229,0.65508,0.87491,0.78974,0.89379,0.65488,0.98605,1.19616,0.66376,1.03458,0,0.00043075,0.00043075,0.00043075
48,8148.41,0.7595,0.98823,0.57789,0.90219,0,0.82881,0.81898,0.87624,0.63844,0.82881,0.81898,0.87841,0.65225,1.00792,1.13774,0.71723,1.02326,0,0.000418375,0.000418375,0.000418375
49,8324.24,0.73091,0.99673,0.56937,0.89737,0,0.86728,0.81595,0.89596,0.66432,0.87388,0.82261,0.9054,0.68077,0.9879,1.11135,0.62198,1.01373,0,0.000406,0.000406,0.000406
50,8494.87,0.74168,0.95702,0.57104,0.89631,0,0.81157,0.82935,0.8779,0.65568,0.81157,0.82935,0.88631,0.66229,0.94095,1.15787,0.66633,1.00608,0,0.000393625,0.000393625,0.000393625
51,8674.15,0.70644,0.93848,0.54124,0.88545,0,0.85846,0.85768,0.91263,0.66286,0.85846,0.85768,0.91278,0.68151,0.9869,1.1912,0.62986,1.02152,0,0.00038125,0.00038125,0.00038125
52,8837.92,0.72037,0.94855,0.54289,0.90151,0,0.86119,0.75629,0.85327,0.62187,0.86119,0.75629,0.85768,0.64068,1.03402,1.2185,0.72715,1.0468,0,0.000368875,0.000368875,0.000368875
53,9033.79,0.70482,0.93451,0.52944,0.88781,0,0.88362,0.82113,0.91002,0.67844,0.88362,0.82113,0.91156,0.69161,0.95471,1.15443,0.64191,1.01196,0,0.0003565,0.0003565,0.0003565
54,9196.3,0.70468,0.94448,0.55134,0.88722,0,0.88558,0.76789,0.90345,0.6828,0.88558,0.76789,0.90602,0.68252,0.95739,1.15304,0.6481,1.01785,0,0.000344125,0.000344125,0.000344125
55,9364.83,0.70595,0.9278,0.53401,0.89095,0,0.79924,0.85984,0.89971,0.68316,0.79924,0.85984,0.90152,0.68747,0.94374,1.14463,0.65575,1.01892,0,0.00033175,0.00033175,0.00033175
56,9531.61,0.69092,0.92975,0.52499,0.88787,0,0.90751,0.78388,0.89801,0.67046,0.90751,0.78388,0.90304,0.67763,0.95202,1.1361,0.63576,1.01626,0,0.000319375,0.000319375,0.000319375
57,9706.53,0.70841,0.9396,0.51774,0.8879,0,0.86362,0.81847,0.91576,0.67409,0.86025,0.81371,0.91499,0.68087,0.98414,1.21297,0.66444,1.02991,0,0.000307,0.000307,0.000307
58,9881.57,0.68701,0.90188,0.5274,0.88507,0,0.90683,0.82751,0.90805,0.67265,0.90118,0.84536,0.9159,0.68432,0.99928,1.2518,0.63895,1.04379,0,0.000294625,0.000294625,0.000294625
59,10053.5,0.69216,0.94254,0.53279,0.8893,0,0.86511,0.75363,0.86756,0.65503,0.86511,0.75363,0.87256,0.66023,0.92352,1.18129,0.70454,1.00945,0,0.00028225,0.00028225,0.00028225
60,10297.2,0.66653,0.87732,0.49613,0.87575,0,0.81374,0.8648,0.90633,0.68545,0.81843,0.87001,0.90702,0.691,0.92784,1.1427,0.62764,1.00225,0,0.000269875,0.000269875,0.000269875
61,10522.9,0.6634,0.88305,0.49374,0.86713,0,0.93723,0.8145,0.92633,0.70002,0.93723,0.8145,0.93674,0.71115,0.91991,1.12975,0.57155,1.01011,0,0.0002575,0.0002575,0.0002575
62,10750.3,0.67168,0.88537,0.49382,0.87545,0,0.87733,0.84856,0.9152,0.6916,0.87733,0.84856,0.92439,0.7059,0.90926,1.13563,0.57885,1.00184,0,0.000245125,0.000245125,0.000245125
63,11021.7,0.6556,0.91699,0.48455,0.86191,0,0.87506,0.84205,0.91846,0.68704,0.87985,0.84777,0.92383,0.69856,0.98453,1.11687,0.60358,1.01611,0,0.00023275,0.00023275,0.00023275
64,11265.3,0.64142,0.87401,0.48187,0.86419,0,0.87822,0.85824,0.91643,0.6692,0.87822,0.85824,0.92154,0.69098,0.96673,1.16184,0.58233,1.04701,0,0.000220375,0.000220375,0.000220375
65,11503,0.65561,0.8825,0.47101,0.87321,0,0.87939,0.81083,0.90137,0.67162,0.87714,0.81311,0.91054,0.68655,0.94409,1.14491,0.61815,1.01225,0,0.000208,0.000208,0.000208
66,11761.7,0.64116,0.89425,0.47734,0.86646,0,0.9069,0.8093,0.90899,0.67565,0.9069,0.8093,0.91948,0.6979,0.9614,1.17231,0.61355,1.02446,0,0.000195625,0.000195625,0.000195625
67,12010.6,0.62593,0.89124,0.47036,0.86366,0,0.8518,0.84754,0.91288,0.69271,0.8518,0.84754,0.92325,0.68836,0.95646,1.18452,0.58804,1.02194,0,0.00018325,0.00018325,0.00018325
68,12267.9,0.6138,0.84651,0.46055,0.86342,0,0.84777,0.85711,0.92209,0.69108,0.84777,0.85711,0.92375,0.69939,0.95619,1.15194,0.60315,1.01725,0,0.000170875,0.000170875,0.000170875
69,12516.6,0.59262,0.84683,0.44142,0.85724,0,0.88014,0.8397,0.91531,0.68844,0.85133,0.87415,0.92393,0.69639,0.94764,1.16177,0.61485,1.00423,0,0.0001585,0.0001585,0.0001585
70,12762.3,0.60898,0.82772,0.44578,0.85955,0,0.81436,0.86621,0.91326,0.68282,0.81436,0.86621,0.91817,0.69444,0.96289,1.18737,0.62046,1.0206,0,0.000146125,0.000146125,0.000146125
71,12992,0.60651,0.82696,0.43316,0.85608,0,0.91342,0.77197,0.90731,0.67734,0.91342,0.77197,0.90864,0.69198,0.94975,1.21166,0.6199,1.00863,0,0.00013375,0.00013375,0.00013375
72,13218.7,0.59746,0.83235,0.43008,0.86229,0,0.89084,0.8193,0.90346,0.68148,0.89084,0.8193,0.91442,0.6852,0.95616,1.21115,0.59767,1.02197,0,0.000121375,0.000121375,0.000121375
73,13460.6,0.5846,0.82173,0.4256,0.86208,0,0.85165,0.82242,0.90174,0.67909,0.85165,0.82242,0.91147,0.69027,0.95193,1.18131,0.60963,1.0199,0,0.000109,0.000109,0.000109
74,13688.8,0.5722,0.80846,0.40886,0.85127,0,0.85915,0.81388,0.88593,0.66419,0.85915,0.81388,0.89494,0.67325,0.96462,1.2357,0.62533,1.03217,0,9.6625e-05,9.6625e-05,9.6625e-05
75,13926,0.56665,0.80194,0.40546,0.84963,0,0.8526,0.85736,0.90198,0.67585,0.85615,0.86433,0.91042,0.68502,0.9659,1.19972,0.58231,1.02077,0,8.425e-05,8.425e-05,8.425e-05
76,14159.6,0.55866,0.78703,0.40478,0.85442,0,0.80987,0.88496,0.91078,0.68358,0.80987,0.88496,0.91924,0.69377,0.95845,1.18847,0.60663,1.0225,0,7.1875e-05,7.1875e-05,7.1875e-05
