epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,3713.93,0.96533,1.15291,0.90382,0.91752,0,0.73063,0.73818,0.80915,0.56558,0.73475,0.73945,0.81359,0.53513,1.12183,1.41363,1.03834,0.9193,0,0.00052975,0.00052975,0.00052975
40,3795.05,0.92214,1.10869,0.88038,0.90312,0,0.79296,0.70346,0.82402,0.57106,0.71713,0.77498,0.82366,0.56524,1.11894,1.30113,0.89925,0.91292,0,0.000517375,0.000517375,0.000517375
41,3873.25,0.92272,1.11728,0.86271,0.91007,0,0.68655,0.76598,0.77542,0.51562,0.68655,0.76598,0.77721,0.50935,1.16012,1.42081,1.03665,0.92875,0,0.000505,0.000505,0.000505
42,3954.16,0.93917,1.15599,0.87082,0.90101,0,0.77217,0.7402,0.82687,0.58991,0.7785,0.74476,0.83102,0.57909,1.04835,1.3508,0.89968,0.90181,0,0.000492625,0.000492625,0.000492625
43,4035.42,0.91657,1.10506,0.84266,0.90225,0,0.68928,0.75389,0.79812,0.56067,0.72927,0.72569,0.80464,0.52954,1.05011,1.51588,1.00893,0.90301,0,0.00048025,0.00048025,0.00048025
44,4114.69,0.91322,1.11188,0.83477,0.89898,0,0.72983,0.81057,0.81035,0.57024,0.73543,0.81402,0.81513,0.56571,1.01478,1.2848,0.90173,0.89141,0,0.000467875,0.000467875,0.000467875
45,4197.62,0.92266,1.15539,0.83135,0.89553,0,0.71705,0.74631,0.83174,0.5859,0.71705,0.74631,0.83261,0.58761,1.0575,1.33806,0.88628,0.90301,0,0.0004555,0.0004555,0.0004555
46,4278.94,0.93143,1.10362,0.85967,0.89778,0,0.74942,0.7203,0.82223,0.58147,0.74942,0.7203,0.82194,0.56914,1.08212,1.33841,0.92922,0.90872,0,0.000443125,0.000443125,0.000443125
47,4359.29,0.91273,1.12775,0.81673,0.89823,0,0.82198,0.73389,0.85146,0.62066,0.82779,0.7391,0.85549,0.61952,1.02842,1.27379,0.87287,0.89936,0,0.00043075,0.00043075,0.00043075
48,4439.06,0.91747,1.10002,0.81471,0.89433,0,0.75163,0.80232,0.85562,0.59999,0.75163,0.80232,0.85405,0.60089,1.06509,1.40082,0.88149,0.90275,0,0.000418375,0.000418375,0.000418375
49,4524.04,0.88356,1.08884,0.78554,0.89112,0,0.78324,0.81207,0.86063,0.60846,0.78939,0.81801,0.866,0.59691,1.05842,1.29222,0.87105,0.89833,0,0.000406,0.000406,0.000406
50,4607.41,0.85991,1.05986,0.76186,0.88354,0,0.74162,0.84414,0.8641,0.59963,0.74162,0.84414,0.86362,0.60055,1.05043,1.32079,0.85379,0.90639,0,0.000393625,0.000393625,0.000393625
51,4705.32,0.87245,1.11714,0.76801,0.88294,0,0.69871,0.83749,0.83029,0.59732,0.69871,0.83749,0.82954,0.59282,1.03478,1.40839,0.94729,0.89336,0,0.00038125,0.00038125,0.00038125
52,4788.23,0.87603,1.09857,0.77528,0.89146,0,0.72203,0.80155,0.82451,0.60179,0.72203,0.80155,0.82456,0.5956,0.98484,1.31367,0.89167,0.88548,0,0.000368875,0.000368875,0.000368875
53,4869.43,0.86014,1.07741,0.74499,0.88476,0,0.76453,0.7613,0.8272,0.5919,0.76453,0.7613,0.82924,0.58689,1.01595,1.37537,0.8738,0.89797,0,0.0003565,0.0003565,0.0003565
54,4948.86,0.84489,1.02916,0.72844,0.87275,0,0.8,0.78936,0.85704,0.61615,0.8048,0.79457,0.8591,0.61692,1.02817,1.39986,0.8938,0.90442,0,0.000344125,0.000344125,0.000344125
55,5030,0.86314,1.0628,0.72127,0.8782,0,0.76226,0.77205,0.83652,0.5875,0.74099,0.80545,0.8399,0.58256,1.12715,1.45071,0.87595,0.92523,0,0.00033175,0.00033175,0.00033175
56,5111.84,0.8535,1.05577,0.72565,0.88599,0,0.83488,0.82168,0.86264,0.61266,0.83488,0.82168,0.86153,0.6006,1.03718,1.4052,0.79547,0.89724,0,0.000319375,0.000319375,0.000319375
57,5191.23,0.87106,1.11473,0.72865,0.8866,0,0.79402,0.80427,0.85825,0.61658,0.79402,0.80427,0.85966,0.61332,0.99785,1.29825,0.80252,0.88926,0,0.000307,0.000307,0.000307
58,5274.11,0.84212,1.02611,0.71357,0.88095,0,0.74909,0.86006,0.86292,0.62741,0.74909,0.86006,0.86292,0.62467,1.02482,1.37485,0.80867,0.89673,0,0.000294625,0.000294625,0.000294625
59,5354.58,0.86276,1.06385,0.70806,0.88385,0,0.72026,0.81717,0.85224,0.62681,0.75753,0.77791,0.85495,0.62064,1.02755,1.37467,0.83225,0.89158,0,0.00028225,0.00028225,0.00028225
60,5436.92,0.82233,1.06355,0.68245,0.87532,0,0.78563,0.78375,0.85523,0.62245,0.78563,0.78375,0.85523,0.61826,1.02876,1.31099,0.79,0.89591,0,0.000269875,0.000269875,0.000269875
61,5518.51,0.84076,1.02642,0.70906,0.87081,0,0.78557,0.75655,0.84984,0.60976,0.78557,0.75655,0.84927,0.59874,1.07166,1.443,0.85511,0.90377,0,0.0002575,0.0002575,0.0002575
62,5600.44,0.85452,1.07012,0.70015,0.88242,0,0.81253,0.76907,0.84812,0.58948,0.81248,0.76973,0.85193,0.58053,1.14198,1.5427,0.82616,0.91915,0,0.000245125,0.000245125,0.000245125
63,5679.61,0.81982,1.02168,0.68973,0.87016,0,0.79231,0.79974,0.84706,0.61004,0.79231,0.79974,0.84684,0.60337,1.05583,1.45359,0.81966,0.89933,0,0.00023275,0.00023275,0.00023275
64,5758.78,0.81788,1.02771,0.66931,0.87527,0,0.7864,0.79308,0.84837,0.61844,0.7864,0.79308,0.84837,0.6029,1.02781,1.33661,0.80505,0.89797,0,0.000220375,0.000220375,0.000220375
65,5841.53,0.84262,0.99962,0.67917,0.87398,0,0.76893,0.83929,0.85916,0.6182,0.77409,0.84439,0.86217,0.6118,1.03933,1.40908,0.79869,0.89062,0,0.000208,0.000208,0.000208
66,5926.55,0.8057,1.03486,0.67791,0.86702,0,0.77729,0.79933,0.85564,0.62313,0.77729,0.79933,0.85564,0.60507,1.04147,1.51472,0.86678,0.88131,0,0.000195625,0.000195625,0.000195625
67,6007.33,0.81488,1.0093,0.66258,0.86989,0,0.79914,0.7932,0.87084,0.6261,0.79914,0.7932,0.87084,0.62098,1.04893,1.39955,0.76448,0.89003,0,0.00018325,0.00018325,0.00018325
68,6088.81,0.78207,0.97364,0.6518,0.86715,0,0.84425,0.78884,0.87059,0.63117,0.84425,0.78884,0.87059,0.63098,1.03431,1.37641,0.76596,0.88798,0,0.000170875,0.000170875,0.000170875
69,6168.63,0.80421,1.02631,0.65688,0.86644,0,0.82679,0.76724,0.8578,0.61686,0.82679,0.76724,0.8578,0.61324,1.02422,1.41008,0.76977,0.88658,0,0.0001585,0.0001585,0.0001585
70,6250.18,0.78915,1.01336,0.63052,0.86643,0,0.83054,0.77037,0.85845,0.62088,0.83054,0.77037,0.85845,0.60948,1.0287,1.38049,0.78071,0.8894,0,0.000146125,0.000146125,0.000146125
71,6327.87,0.76744,1.00169,0.61481,0.87111,0,0.82865,0.79393,0.87425,0.6311,0.82865,0.79393,0.87425,0.63006,1.03879,1.38153,0.77001,0.89326,0,0.00013375,0.00013375,0.00013375
72,6405.24,0.76519,0.96546,0.5925,0.87452,0,0.81344,0.81287,0.86391,0.62619,0.81344,0.81287,0.86332,0.61589,1.07234,1.54055,0.7954,0.90162,0,0.000121375,0.000121375,0.000121375
73,6483.17,0.75003,0.9666,0.59135,0.87136,0,0.84029,0.75808,0.86391,0.62235,0.84029,0.75808,0.86327,0.61396,1.04571,1.45286,0.81373,0.89737,0,0.000109,0.000109,0.000109
74,6559.62,0.7339,0.964,0.58146,0.86336,0,0.83105,0.80254,0.86945,0.62559,0.8361,0.80775,0.8722,0.62255,1.03635,1.41481,0.7755,0.89648,0,9.6625e-05,9.6625e-05,9.6625e-05
75,6638.32,0.72918,0.95881,0.56644,0.86762,0,0.77465,0.84904,0.86186,0.62371,0.7887,0.83693,0.86408,0.62294,1.0422,1.41094,0.8021,0.89863,0,8.425e-05,8.425e-05,8.425e-05
76,6714.59,0.73332,0.94209,0.57086,0.86356,0,0.78406,0.8324,0.86657,0.62117,0.78757,0.82319,0.86894,0.61716,1.06995,1.4025,0.79681,0.8976,0,7.1875e-05,7.1875e-05,7.1875e-05
77,6791.68,0.71819,0.91395,0.56971,0.86236,0,0.81234,0.80326,0.85776,0.61335,0.81129,0.79506,0.8545,0.60219,1.10149,1.55699,0.85284,0.91833,0,5.95e-05,5.95e-05,5.95e-05
78,6869.26,0.73406,0.94592,0.57099,0.86712,0,0.8142,0.7835,0.85576,0.62178,0.81976,0.78871,0.85768,0.61347,1.04156,1.43005,0.82529,0.89564,0,4.7125e-05,4.7125e-05,4.7125e-05
79,6945.1,0.71852,0.92344,0.56042,0.8557,0,0.77683,0.8225,0.86102,0.62562,0.82556,0.77859,0.86308,0.61528,1.06804,1.43459,0.81802,0.89966,0,3.475e-05,3.475e-05,3.475e-05
80,7055.72,0.699,0.90918,0.55681,0.86185,0,0.80587,0.79215,0.85738,0.6252,0.81107,0.79687,0.85934,0.61511,1.04202,1.40013,0.80261,0.89392,0,2.2375e-05,2.2375e-05,2.2375e-05
